label,sentence
1,"How do I appeal a visa rejection for Spain?"
0,"I'm a fan of Spanish classical guitar."
1,"¿Cuáles son los beneficios de obtener la ciudadanía española por inversión en startups?"
0,"I want to witness the Tomatina festival in Buñol."
1,"What is the process for obtaining a visa for cultural exchange in Spain?"
0,"I enjoy exploring the Moorish architecture of Spain."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria para víctimas de desastres en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish electronic music."
1,"¿Cuáles son los requisitos para obtener una visa de residencia para artistas en España?"
0,"I want to experience the Carnival of Cadiz."
1,"What is the procedure for obtaining a visa for religious pilgrims in Spain?"
0,"I enjoy watching Spanish bullfighting."
1,"What are the requirements for obtaining a visa for scientific research in Spain?"
0,"I'm a fan of Spanish cuisine, especially paella."
1,"¿Cuáles son los pasos para solicitar una visa de trabajo temporal en España?"
0,"I plan to visit the historic city of Salamanca."
1,"How can I apply for a visa for humanitarian work in Spain?"
0,"I enjoy reading Spanish novels."
1,"¿Cuál es el proceso para obtener la residencia en España si soy inversor en una startup?"
0,"I want to explore the beautiful landscapes of Spain."
1,"What is the validity period of a student visa for Spain?"
0,"I'm a fan of Spanish contemporary dance."
1,"¿Cuáles son los beneficios de obtener la ciudadanía española por matrimonio?"
0,"I plan to attend a Spanish flamenco show."
1,"How do I prove financial means for a Spanish retirement visa?"
0,"I enjoy the cultural diversity of Spain."
1,"¿Cuáles son los trámites para obtener una visa humanitaria para refugiados en España?"
0,"I want to experience the Spanish Easter traditions."
1,"What is the process for obtaining a visa for language study in Spain?"
0,"I'm a fan of Spanish reggaeton music."
1,"¿Cuál es el proceso para renovar una visa de residencia no lucrativa en España?"
0,"I plan to visit the historic town of Girona."
1,"How can I extend my tourist visa in Spain?"
0,"I enjoy the art galleries of Madrid."
1,"¿Cuáles son los requisitos para obtener una visa de trabajo para artistas en España?"
0,"I want to experience the beauty of Spanish cathedrals."
1,"What are the conditions for obtaining a family reunion visa for siblings in Spain?"
0,"I'm a fan of Spanish stand-up comedy."
1,"¿Cuál es el plazo de validez de una visa de trabajo para emprendedores en España?"
0,"I plan to explore the Spanish islands."
1,"How can I bring my spouse and children with me when I get a residence permit in Spain?"
0,"I enjoy the Spanish tradition of afternoon siestas."
1,"¿Cuáles son los documentos necesarios para solicitar una visa de estudios de posgrado en España?"
0,"I want to experience the San Fermín festival in Pamplona."
1,"What is the process for obtaining a visa for cultural exchange programs in Spain?"
0,"I'm a fan of Spanish opera singers."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para padres en España?"
0,"I plan to visit the historic city of Segovia."
1,"How can I apply for a visa for religious studies in Spain?"
0,"I enjoy learning about Spanish history through documentaries."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I want to experience the lively atmosphere of Barcelona's La Rambla."
1,"What is the process for obtaining a visa for medical internships in Spain?"
0,"I'm a fan of Spanish flamenco guitar music."
1,"¿Cuáles son los requisitos para obtener una visa de residencia por trabajo en hostelería en España?"
0,"I plan to explore the traditional villages of Catalonia."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I enjoy attending Spanish music festivals."
1,"¿Cuáles son las tasas de matrícula para estudiantes internacionales en universidades españolas?"
0,"I want to witness the Carnival of Santa Cruz de Tenerife."
1,"What is the process for obtaining a visa for artistic performances and exhibitions in Spain?"
0,"I'm a fan of Spanish comic books."
1,"¿Cuáles son los derechos de los estudiantes extranjeros en universidades españolas?"
0,"I plan to attend a Spanish-language immersion program."
1,"How can I apply for an entrepreneur visa for startups in Spain?"
0,"I enjoy exploring the natural beauty of the Spanish countryside."
1,"¿Cuáles son los beneficios de obtener la nacionalidad española por inversión en bienes raíces?"
0,"I want to experience the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I'm a fan of Spanish street art and murals."
1,"What are the income requirements for a work visa in Spain?"
0,"I enjoy visiting Spanish historical sites."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to explore the diverse regions of Spain."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish folk music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the vibrant atmosphere of Spanish festivals."
1,"What is the process for obtaining a talent visa for artists in Spain?"
0,"I enjoy trying different types of Spanish cuisine."
1,"¿Cuál es el proceso para obtener la residencia en España si soy inversor en startups tecnológicas?"
0,"I plan to attend a Spanish language course in Madrid."
1,"How long does it take to process a humanitarian visa application for Spain?"
0,"I'm a fan of Spanish urban fashion."
1,"¿Cuáles son los beneficios de obtener la ciudadanía española por ascendencia?"
0,"I want to explore the natural beauty of the Spanish Pyrenees."
1,"What are the requirements for obtaining a family reunion visa for adult children in Spain?"
0,"I enjoy watching Spanish soccer matches."
1,"¿Cuál es el plazo de validez de una visa de trabajo temporal en España?"
0,"I plan to visit the historic city of Toledo."
1,"How can I apply for a religious worker visa in Spain?"
0,"I'm a fan of Spanish contemporary literature."
1,"¿Cuáles son los derechos de los refugiados en España?"
0,"I want to experience the vibrant atmosphere of Las Ramblas in Barcelona."
1,"What is the process for obtaining a visa for language study in Spain?"
0,"I enjoy exploring the historic neighborhoods of Seville."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria para víctimas de desastres en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish electronic dance music."
1,"¿Cuáles son los requisitos para obtener una visa de residencia para artistas en España?"
0,"I want to witness the La Tomatina festival in Buñol."
1,"What is the procedure for obtaining a visa for religious pilgrims in Spain?"
0,"I enjoy watching Spanish bullfighting."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I want to explore the historic town of Ronda."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish street art and graffiti."
1,"¿Cuáles son las tasas de matrícula para estudiantes internacionales en universidades españolas?"
0,"I plan to visit the beaches of Costa del Sol."
1,"What is the process for obtaining a visa for artistic performances and exhibitions in Spain?"
0,"I enjoy reading Spanish comics."
1,"¿Cuáles son los derechos de los estudiantes extranjeros en universidades españolas?"
0,"I want to experience the Carnival of Cádiz."
1,"How can I apply for an entrepreneur visa for startups in Spain?"
0,"I'm a fan of Spanish indie rock music."
1,"¿Cuáles son los beneficios de obtener la nacionalidad española por inversión en bienes raíces?"
0,"I plan to attend the San Fermín festival in Pamplona."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic alleys of Granada."
1,"What are the qualifications for a work visa in Spain?"
0,"I like to watch Spanish TV shows."
1,"¿Cuál es el proceso para solicitar una visa de estudios en España?"
0,"I plan to visit the beautiful beaches of the Balearic Islands."
1,"How can I sponsor a family member for a visa in Spain?"
0,"I'm a fan of Spanish fashion designers."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados en España?"
0,"I want to experience the excitement of Spanish fiestas."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like gazpacho."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for an entrepreneur visa for startup ventures in Spain?"
0,"I'm a fan of Spanish electronic music festivals."
1,"¿Cuáles son los requisitos para una visa de residencia para profesionales médicos en España?"
0,"I want to witness the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"What are the requirements for obtaining a visa for scientific research in Spain?"
0,"I enjoy exploring Spanish museums and art galleries."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to hike in the Spanish national parks."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish flamenco music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the excitement of Spanish bullfighting."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like paella."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for an entrepreneur visa for startup ventures in Spain?"
0,"I'm a fan of Spanish electronic music festivals."
1,"¿Cuáles son los requisitos para una visa de residencia para profesionales médicos en España?"
0,"I want to witness the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"What are the qualifications for obtaining a work visa in Spain?"
0,"I enjoy exploring Spanish museums and art galleries."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to hike in the Spanish national parks."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish flamenco music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the excitement of Spanish bullfighting."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like paella."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
